SLA (m)  	SSH (m)  	lat (degrees_north)  	
DV	DV	-66.145835	
DV	DV	-66.14578	
DV	DV	-66.145608	
DV	DV	-66.145321	
DV	DV	-66.144918	
DV	DV	-66.144399	
DV	DV	-66.143764	
DV	DV	-66.143014	
DV	DV	-66.142148	
DV	DV	-66.141166	
DV	DV	-66.140068	
DV	DV	-66.138855	
DV	DV	-66.137526	
DV	DV	-66.136081	
DV	DV	-66.13452	
DV	DV	-66.132844	
DV	DV	-66.131053	
DV	DV	-66.129145	
DV	DV	-66.127122	
DV	DV	-66.124984	
DV	DV	-66.12273	
DV	DV	-66.12036	
DV	DV	-66.117876	
DV	DV	-66.115275	
DV	DV	-66.11256	
DV	DV	-66.109729	
DV	DV	-66.106782	
DV	DV	-66.103721	
DV	DV	-66.100544	
DV	DV	-66.097252	
DV	DV	-66.093845	
DV	DV	-66.090323	
DV	DV	-66.086686	
DV	DV	-66.082934	
DV	DV	-66.079067	
DV	DV	-66.075085	
DV	DV	-66.070989	
DV	DV	-66.066778	
DV	DV	-66.062452	
DV	DV	-66.058011	
DV	DV	-66.053456	
DV	DV	-66.048786	
DV	DV	-66.044002	
DV	DV	-66.039104	
DV	DV	-66.034091	
DV	DV	-66.028965	
DV	DV	-66.023724	
DV	DV	-66.018369	
DV	DV	-66.0129	
DV	DV	-66.007317	
DV	DV	-66.00162	
DV	DV	-65.99581	
DV	DV	-65.989886	
DV	DV	-65.983848	
DV	DV	-65.977697	
DV	DV	-65.971432	
DV	DV	-65.965054	
DV	DV	-65.958563	
DV	DV	-65.951959	
DV	DV	-65.945242	
DV	DV	-65.938412	
DV	DV	-65.931468	
DV	DV	-65.924413	
DV	DV	-65.917244	
DV	DV	-65.909963	
DV	DV	-65.90257	
DV	DV	-65.895064	
DV	DV	-65.887446	
DV	DV	-65.879716	
DV	DV	-65.871873	
DV	DV	-65.863919	
DV	DV	-65.855853	
DV	DV	-65.847676	
DV	DV	-65.839386	
DV	DV	-65.830986	
DV	DV	-65.822474	
DV	DV	-65.81385	
DV	DV	-65.805116	
DV	DV	-65.79627	
DV	DV	-65.787314	
DV	DV	-65.778247	
DV	DV	-65.769069	
DV	DV	-65.759781	
DV	DV	-65.750383	
DV	DV	-65.740874	
DV	DV	-65.731255	
DV	DV	-65.721526	
DV	DV	-65.711687	
DV	DV	-65.701739	
DV	DV	-65.691681	
DV	DV	-65.681513	
DV	DV	-65.671236	
DV	DV	-65.66085	
DV	DV	-65.650355	
DV	DV	-65.639751	
DV	DV	-65.629039	
DV	DV	-65.618217	
DV	DV	-65.607287	
DV	DV	-65.596249	
DV	DV	-65.585103	
DV	DV	-65.573849	
DV	DV	-65.562486	
DV	DV	-65.551016	
DV	DV	-65.539439	
DV	DV	-65.527754	
DV	DV	-65.515962	
DV	DV	-65.504062	
DV	DV	-65.492056	
DV	DV	-65.479943	
DV	DV	-65.467723	
DV	DV	-65.455397	
DV	DV	-65.442964	
DV	DV	-65.430426	
DV	DV	-65.417781	
DV	DV	-65.40503	
DV	DV	-65.392174	
DV	DV	-65.379212	
DV	DV	-65.366145	
DV	DV	-65.352972	
DV	DV	-65.339695	
DV	DV	-65.326313	
DV	DV	-65.312826	
DV	DV	-65.299235	
DV	DV	-65.285539	
DV	DV	-65.271739	
DV	DV	-65.257835	
DV	DV	-65.243828	
DV	DV	-65.229716	
DV	DV	-65.215502	
DV	DV	-65.201184	
DV	DV	-65.186763	
DV	DV	-65.172238	
DV	DV	-65.157612	
DV	DV	-65.142882	
DV	DV	-65.128051	
DV	DV	-65.113117	
DV	DV	-65.098081	
DV	DV	-65.082943	
DV	DV	-65.067704	
DV	DV	-65.052363	
DV	DV	-65.036921	
DV	DV	-65.021377	
DV	DV	-65.005733	
DV	DV	-64.989989	
DV	DV	-64.974143	
DV	DV	-64.958198	
DV	DV	-64.942152	
DV	DV	-64.926006	
DV	DV	-64.909761	
DV	DV	-64.893416	
DV	DV	-64.876971	
DV	DV	-64.860428	
DV	DV	-64.843785	
DV	DV	-64.827044	
DV	DV	-64.810204	
DV	DV	-64.793266	
DV	DV	-64.776229	
DV	DV	-64.759095	
DV	DV	-64.741862	
DV	DV	-64.724533	
DV	DV	-64.707105	
DV	DV	-64.689581	
DV	DV	-64.67196	
DV	DV	-64.654241	
DV	DV	-64.636427	
DV	DV	-64.618516	
DV	DV	-64.600508	
DV	DV	-64.582405	
DV	DV	-64.564206	
DV	DV	-64.545911	
DV	DV	-64.527521	
DV	DV	-64.509036	
DV	DV	-64.490456	
DV	DV	-64.471781	
DV	DV	-64.453012	
DV	DV	-64.434148	
DV	DV	-64.41519	
DV	DV	-64.396139	
DV	DV	-64.376993	
DV	DV	-64.357754	
DV	DV	-64.338422	
DV	DV	-64.318997	
DV	DV	-64.299479	
DV	DV	-64.279868	
DV	DV	-64.260165	
DV	DV	-64.24037	
DV	DV	-64.220482	
DV	DV	-64.200503	
DV	DV	-64.180432	
DV	DV	-64.16027	
0.1367	8.5686	-64.140017	
0.2693	8.723	-64.119672	
DV	DV	-64.099237	
DV	DV	-64.078712	
DV	DV	-64.058096	
1.0859	9.5911	-64.03739	
DV	DV	-64.016594	
DV	DV	-63.995709	
0.1324000001	8.6153000001	-63.974734	
0.0978000001	8.5880000001	-63.95367	
0.0474	8.55	-63.932517	
0.1251999999	8.6434999999	-63.911275	
0.0741000001	8.6138000001	-63.889944	
0.1095	8.6802	-63.868525	
0.1089999999	8.7250999999	-63.847018	
0.1295999999	8.8018999999	-63.825423	
0.1036000001	8.8400000001	-63.803741	
0.0987000001	8.9109000001	-63.78197	
0.0934999999	9.0000999999	-63.760113	
0.1253999999	9.1403999999	-63.738168	
0.1276999999	9.2477999999	-63.716137	
0.0993000001	9.3175000001	-63.694019	
0.1056	9.4202	-63.671814	
0.1495000002	9.5585000002	-63.649524	
0.1065000001	9.6106000001	-63.627147	
0.1233999999	9.7302999999	-63.604685	
0.1348999999	9.8462999999	-63.582137	
0.1227000001	9.9228000001	-63.559504	
0.1011000002	9.9630000002	-63.536785	
0.0841000002	9.9798000002	-63.513982	
0.11	10.0152	-63.491094	
0.0906	10.0009	-63.468122	
0.1103999998	10.0336999998	-63.445066	
0.1026	10.0566	-63.421925	
0.0754000002	10.0812000002	-63.398701	
0.1219999999	10.1834999999	-63.375393	
0.1065000001	10.2267000001	-63.352002	
0.1093000001	10.2786000001	-63.328527	
0.1384000002	10.3469000002	-63.30497	
0.1133999999	10.3557999999	-63.28133	
0.0950999998	10.3324999998	-63.257607	
0.1117	10.3236	-63.233803	
0.0865000002	10.2623000002	-63.209916	
0.1266	10.2749	-63.185947	
0.0793	10.2254	-63.161897	
0.0987999998	10.2584999998	-63.137765	
0.0627000001	10.2622000001	-63.113553	
0.1129000001	10.3703000001	-63.089259	
0.1523999998	10.4814999998	-63.064884	
0.0964	10.4968	-63.04043	
0.1105000002	10.5741000002	-63.015894	
0.1224999999	10.6288999999	-62.991279	
0.1104	10.6362	-62.966584	
0.0726	10.6009	-62.941809	
0.1059000001	10.6277000001	-62.916955	
0.0799000001	10.5945000001	-62.892021	
0.1119	10.6332	-62.867009	
0.1124999998	10.6560999998	-62.841918	
0.1078	10.6814	-62.816748	
0.0847999999	10.6938999999	-62.7915	
0.1073999999	10.7594999999	-62.766174	
0.0782	10.7926	-62.74077	
0.0840000001	10.8780000001	-62.715288	
0.0805	10.9527	-62.689729	
0.0991000001	11.0266000001	-62.664092	
0.0983	11.0551	-62.638379	
0.0938000001	11.0674000001	-62.612588	
0.0868000001	11.0709000001	-62.586721	
0.1200000001	11.1176000001	-62.560778	
0.0976	11.1166	-62.534759	
0.1162999998	11.1680999998	-62.508663	
0.096	11.1881	-62.482492	
0.0741	11.2088	-62.456246	
0.1125000002	11.2961000002	-62.429924	
0.0941000002	11.3259000002	-62.403527	
0.1159	11.3865	-62.377055	
0.1189000001	11.4280000001	-62.350508	
0.0481999999	11.3986999999	-62.323887	
0.0850999999	11.4839999999	-62.297192	
0.0959	11.5491	-62.270422	
0.0698	11.5869	-62.243579	
0.0797	11.6693	-62.216663	
0.0871999999	11.7603999999	-62.189673	
0.1021000001	11.8535000001	-62.162609	
0.0496	11.8646	-62.135473	
0.0344000001	11.8989000001	-62.108264	
0.0894000001	11.9792000001	-62.080983	
0.0965	11.988	-62.053629	
0.0869	11.9685	-62.026203	
0.0825999998	11.9559999998	-61.998705	
0.0567999999	11.9448999999	-61.971136	
0.0601	11.9886	-61.943495	
0.0532999999	12.0393999999	-61.915783	
0.0483000002	12.1018000002	-61.888	
0.0636	12.1824	-61.860146	
0.0712000001	12.2432000001	-61.832221	
0.0780000001	12.2908000001	-61.804226	
0.0406	12.2872	-61.77616	
0.0207	12.3045	-61.748025	
0.0217	12.3484	-61.71982	
-0.0043000001	12.3710999999	-61.691545	
0.0239	12.4582	-61.663201	
0.0834	12.5857	-61.634788	
0.0856	12.6717	-61.606306	
0.0802000001	12.7409000001	-61.577755	
0.0160000001	12.7145000001	-61.549135	
0.0623	12.7514	-61.520447	
0.0757999999	12.7313999999	-61.491691	
0.0684000001	12.7014000001	-61.462867	
0.0455999999	12.6920999999	-61.433975	
0.0188	12.7154	-61.405016	
0.0714999999	12.8423999999	-61.37599	
0.0592999999	12.9061999999	-61.346896	
0.0761999999	12.9911999999	-61.317735	
0.0342000001	13.0052000001	-61.288508	
0.0784999999	13.1026999999	-61.259214	
0.0998000001	13.1859000001	-61.229854	
0.0187	13.1762	-61.200428	
0.0619	13.2916	-61.170936	
0.0507999999	13.3474999999	-61.141378	
0.0556000002	13.3989000002	-61.111755	
0.0708	13.4503	-61.082066	
0.0091000001	13.3949000001	-61.052312	
0.0156999999	13.3878999999	-61.022494	
0.0553	13.4435	-60.99261	
0.0735000001	13.5302000001	-60.962662	
0.0509999999	13.6309999999	-60.93265	
0.0341000001	13.7613000001	-60.902574	
0.0130999999	13.8675999999	-60.872434	
0.0351999998	13.9573999998	-60.84223	
0.0465	13.9772	-60.811963	
0.0153	13.9344	-60.781632	
0.0261000001	13.9642000001	-60.751238	
0.0395999999	14.0404999999	-60.720782	
0.0413000001	14.1164000001	-60.690262	
0.0918	14.2157	-60.65968	
0.0234999999	14.1581999999	-60.629036	
0.0071	14.134	-60.59833	
0.0728	14.2093	-60.567561	
0.0693000001	14.2446000001	-60.536731	
0.0846000001	14.3036000001	-60.505839	
0.0315	14.2791	-60.474886	
0.0547999999	14.3292999999	-60.443872	
0.0639999999	14.3830999999	-60.412797	
0.0658000001	14.4461000001	-60.381661	
0.0049999999	14.4449999999	-60.350464	
0.0444000001	14.5549000001	-60.319207	
0.023	14.6206	-60.28789	
0.0274	14.7286	-60.256513	
0.0464000002	14.8563000002	-60.225076	
0.0154000002	14.9238000002	-60.193579	
0.0812000001	15.0722000001	-60.162023	
0.0158000001	15.0627000001	-60.130407	
0.0111000001	15.0932000001	-60.098733	
0.0589	15.1743	-60.066999	
0.0366000001	15.1939000001	-60.035207	
0.0075000001	15.2196000001	-60.003356	
-0.0051000001	15.2552999999	-59.971447	
0.0698000001	15.3698000001	-59.93948	
0.0255999999	15.3653999999	-59.907455	
0.0564999999	15.4487999999	-59.875372	
0.0029999999	15.4712999999	-59.843231	
0.0011000001	15.5709000001	-59.811033	
0.0434	15.7366	-59.778778	
0.001	15.8292	-59.746465	
0.0306	15.9776	-59.714096	
0.0331999999	16.0580999999	-59.68167	
0.0528	16.1183	-59.649188	
0.0243000001	16.1121000001	-59.616649	
0.1079999999	16.2099999999	-59.584054	
0.0487000001	16.1724000001	-59.551403	
0.0104	16.1821	-59.518697	
0.0529999998	16.2878999998	-59.485934	
0.0135	16.311	-59.453117	
0.0666	16.4171	-59.420244	
0.0236	16.4182	-59.387316	
-0.0104	16.443	-59.354333	
0.0785000001	16.5979000001	-59.321295	
0.001	16.5854	-59.288203	
0.01	16.6438	-59.255056	
0.0259	16.6883	-59.221855	
0.0542999999	16.7275999999	-59.188601	
0.0478000001	16.7225000001	-59.155292	
0.0371	16.7158	-59.12193	
0.0625	16.7532	-59.088514	
-0.018	16.6916	-59.055045	
0.0214000001	16.7580000001	-59.021522	
0.0232	16.7873	-58.987947	
0.0250999999	16.8139999999	-58.954319	
0.0718999999	16.8975999999	-58.920638	
0.0498	16.918	-58.886905	
0.0274000001	16.9444000001	-58.853119	
0.0486000002	17.0284000002	-58.819281	
0.0508000001	17.0932000001	-58.785392	
0.0513999999	17.1700999999	-58.75145	
0.0369000002	17.2347000002	-58.717457	
0.0626	17.3418	-58.683412	
0.0506999999	17.4130999999	-58.649317	
0.0399000001	17.4837000001	-58.61517	
0.0442000001	17.5701000001	-58.580972	
0.0377000001	17.6409000001	-58.546723	
0.0152	17.6925	-58.512423	
0.0224	17.7755	-58.478074	
0.027	17.8679	-58.443673	
0.0834	18.0184	-58.409223	
0.0559	18.0818	-58.374723	
0.0600000001	18.1689000001	-58.340173	
0.0298	18.2113	-58.305573	
0.0294999999	18.2402999999	-58.270924	
0.0033	18.1936	-58.236225	
0.0341000002	18.1810000002	-58.201478	
-0.0082	18.0995	-58.166681	
0.0285	18.1299	-58.131835	
0.0310000002	18.1369000002	-58.096941	
0.0266	18.1391	-58.061998	
0.0198	18.1334	-58.027007	
-0.0000999999	18.1074000001	-57.991968	
0.0661999999	18.1695999999	-57.95688	
0.0536999998	18.1715999998	-57.921745	
0.0193	18.1549	-57.886562	
0.0319	18.1663	-57.851332	
0.0507000001	18.1815000001	-57.816053	
0.0270000001	18.1836000001	-57.780728	
0.0209000001	18.2143000001	-57.745356	
0.0057999999	18.2398999999	-57.709936	
0.0176	18.2917	-57.67447	
0.0813000001	18.4037000001	-57.638957	
0.0603	18.4526	-57.603398	
0.0110999998	18.4835999998	-57.567792	
0.0102999999	18.5585999999	-57.53214	
0.0431	18.6446	-57.496442	
0.0334	18.6678	-57.460699	
0.0085999999	18.6998999999	-57.424909	
0.0244	18.7893	-57.389074	
0.0541000001	18.8810000001	-57.353193	
0.0704999999	18.9424999999	-57.317267	
0.0139999999	18.9063999999	-57.281296	
0.0136	18.8848	-57.24528	
0.0801999999	18.9087999999	-57.209219	
0.0838000001	18.8820000001	-57.173114	
0.0144	18.8198	-57.136963	
0.0396000001	18.9050000001	-57.100769	
0.0382	19.0192	-57.06453	
0.0774999998	19.2211999998	-57.028247	
0.0112999999	19.3213999999	-56.99192	
0.0098000001	19.4346000001	-56.955549	
0.0736000001	19.5552000001	-56.919135	
0.0012	19.5246	-56.882677	
0.0406	19.6173	-56.846175	
0.0960999998	19.7411999998	-56.809631	
0.0171	19.7475	-56.773043	
-0.0180000001	19.8222999999	-56.736412	
0.0195000001	19.9906000001	-56.699739	
0.0426000001	20.1344000001	-56.663022	
-0.0015999999	20.1647000001	-56.626264	
0.0330999999	20.2320999999	-56.589462	
-0.0242	20.2144	-56.552619	
0.0793000001	20.4034000001	-56.515733	
-0.0356000001	20.4158999999	-56.478806	
0.0446000001	20.6372000001	-56.441836	
0.0212	20.7477	-56.404825	
0.0497	20.8984	-56.367772	
0.0563	20.9906	-56.330678	
0.0092999999	21.0157999999	-56.293543	
-0.0019999999	21.0994000001	-56.256366	
0.0192	21.2431	-56.219148	
0.0094	21.38	-56.18189	
0.0249	21.561	-56.14459	
0.0590999999	21.7660999999	-56.10725	
-0.0248	21.8506	-56.06987	
0.0051	22.057	-56.032449	
0.0218	22.2625	-55.994988	
0.0016	22.3967	-55.957487	
0.0272000001	22.5000000001	-55.919946	
-0.0059000001	22.5424999999	-55.882365	
-0.0773000002	22.5731999998	-55.844744	
0.0168999999	22.7830999999	-55.807084	
-0.0299999999	22.8610000001	-55.769384	
0.0330000001	23.0769000001	-55.731645	
0.038	23.2534	-55.693867	
0.0035	23.3966	-55.65605	
0.0215	23.5881	-55.618193	
0.0119	23.7557	-55.580298	
0.0299	23.9532	-55.542365	
0.0365	24.1423	-55.504393	
0.0485	24.293	-55.466382	
0.0286000001	24.3735000001	-55.428333	
-0.013	24.4157	-55.390246	
0.0231999998	24.5365999998	-55.352121	
-0.0028000001	24.6238999999	-55.313958	
-0.0904999999	24.6745000001	-55.275757	
0.0027999998	24.8851999998	-55.237519	
-0.0444999999	24.9558000001	-55.199243	
-0.0086000002	25.1528999998	-55.160929	
-0.0109000001	25.3359999999	-55.122579	
-0.0395000001	25.4822999999	-55.084191	
-0.0052	25.6685	-55.045766	
-0.0325999999	25.7638000001	-55.007304	
-0.0139000001	25.9219999999	-54.968805	
-0.0203999999	26.1080000001	-54.93027	
0.0624	26.4236	-54.891698	
-0.0451000001	26.5300999999	-54.85309	
0.0038000002	26.7346000002	-54.814445	
-0.0097999999	26.8342000001	-54.775764	
0.0240999998	26.9658999998	-54.737047	
0.0085000002	27.0327000002	-54.698294	
-0.0923999999	26.9836000001	-54.659505	
0.0169000001	27.1238000001	-54.620681	
0.0405	27.1818	-54.581821	
-0.0171999999	27.1781000001	-54.542925	
0.0046000001	27.2800000001	-54.503994	
0.0215999999	27.4244999999	-54.465028	
-0.0300999998	27.5110000002	-54.426026	
0.0441999999	27.6836999999	-54.38699	
0.0388999999	27.7665999999	-54.347918	
0.0052999998	27.8540999998	-54.308812	
0.0377999999	28.0204999999	-54.269671	
-0.0080000002	28.0979999998	-54.230496	
-0.0387000001	28.2072999999	-54.191286	
0.0545	28.4741	-54.152041	
-0.0011	28.6028	-54.112763	
0.0254999999	28.8008999999	-54.07345	
-0.0143000001	28.9588999999	-54.034103	
0.0232000001	29.2287000001	-53.994723	
0.0364	29.4135	-53.955308	
-0.0279	29.4321	-53.91586	
-0.1008	29.4639	-53.876379	
-0.0553000001	29.6158999999	-53.836863	
-0.0798	29.7034	-53.797315	
-0.1476999999	29.8111000001	-53.757733	
-0.0893999998	30.0583000002	-53.718118	
-0.0071999998	30.2855000002	-53.67847	
-0.1294	30.2788	-53.63879	
-0.0666	30.4661	-53.599076	
-0.0747000002	30.5732999998	-53.55933	
-0.0528	30.6768	-53.519551	
-0.0872000001	30.7414999999	-53.479739	
-0.102	30.851	-53.439895	
-0.0506000001	31.0513999999	-53.400019	
-0.0818999999	31.1906000001	-53.360111	
-0.0869	31.408	-53.320171	
-0.0692999998	31.7001000002	-53.280198	
-0.0212	32.0354	-53.240194	
0.0467000001	32.3698000001	-53.200158	
0.0047	32.5715	-53.16009	
0.0440000001	32.8133000001	-53.119991	
0.0983000001	33.0098000001	-53.07986	
-0.0546000001	32.9699999999	-53.039699	
0.0314999999	33.1658999999	-52.999505	
0.0133	33.2608	-52.959281	
0.0195	33.4089	-52.919025	
0.0354	33.5641	-52.878739	
0.0075	33.5838	-52.838422	
-0.1179	33.4212	-52.798074	
-0.0167	33.4273	-52.757695	
0.0206000002	33.3440000002	-52.717286	
0.0518000001	33.2877000001	-52.676846	
0.0257	33.2063	-52.636376	
0.0946000001	33.3242000001	-52.595876	
0.0733999999	33.4885999999	-52.555346	
0.0426	33.7235	-52.514785	
0.0875999999	34.0290999999	-52.474195	
0.0708999998	34.2385999998	-52.433575	
0.0952999999	34.4483999999	-52.392925	
0.0864000001	34.5990000001	-52.352245	
0.0988	34.7003	-52.311536	
0.0798	34.7355	-52.270797	
0.0589	34.734	-52.230029	
