alt (m)  	time 	
1354273.5585	2014-08-26 02:40:07.808313	
1354273.351	2014-08-26 02:40:08.828466	
1354272.8487	2014-08-26 02:40:10.892092	
1354272.6679	2014-08-26 02:40:11.540616	
1354272.5064999999	2014-08-26 02:40:12.089070	
1354272.3204999999	2014-08-26 02:40:12.690478	
1354272.0693000001	2014-08-26 02:40:13.458505	
1354271.6279	2014-08-26 02:40:14.707951	
1354271.2374	2014-08-26 02:40:15.728105	
1354270.8197000001	2014-08-26 02:40:16.748259	
1354270.3818000001	2014-08-26 02:40:17.753354	
1354269.9103999999	2014-08-26 02:40:18.773508	
1354269.412	2014-08-26 02:40:19.793662	
1354268.8865	2014-08-26 02:40:20.813816	
1354268.3339	2014-08-26 02:40:21.833968	
1354267.7542000001	2014-08-26 02:40:22.854123	
1354267.1475	2014-08-26 02:40:23.874276	
1354266.5137	2014-08-26 02:40:24.894431	
1354265.8529000001	2014-08-26 02:40:25.914583	
1354265.1649	2014-08-26 02:40:26.934737	
1354264.45	2014-08-26 02:40:27.954891	
1354262.8256999999	2014-08-26 02:40:30.142392	
1354262.3913	2014-08-26 02:40:30.700562	
1354261.4336000001	2014-08-26 02:40:31.896084	
1354260.5871000001	2014-08-26 02:40:32.916240	
1354259.7135000001	2014-08-26 02:40:33.936393	
1354258.8129	2014-08-26 02:40:34.956547	
1354257.7046000001	2014-08-26 02:40:36.171986	
1354256.7446999999	2014-08-26 02:40:37.192140	
1354255.7578	2014-08-26 02:40:38.212293	
1354254.7439000001	2014-08-26 02:40:39.232446	
1354253.7028999999	2014-08-26 02:40:40.252600	
1354252.2142	2014-08-26 02:40:41.667700	
1354251.1087	2014-08-26 02:40:42.687854	
1354249.747	2014-08-26 02:40:43.911551	
1354248.5821	2014-08-26 02:40:44.931706	
1354247.3902	2014-08-26 02:40:45.951859	
1354246.1713	2014-08-26 02:40:46.972014	
1354244.9254000001	2014-08-26 02:40:47.992167	
1354243.6525000001	2014-08-26 02:40:49.012319	
1354242.3526999999	2014-08-26 02:40:50.032473	
1354241.0257999999	2014-08-26 02:40:51.052627	
1354239.6719	2014-08-26 02:40:52.072781	
1354238.2911	2014-08-26 02:40:53.092934	
1354236.8833000001	2014-08-26 02:40:54.113089	
1354235.4484999999	2014-08-26 02:40:55.133242	
1354233.9867	2014-08-26 02:40:56.153396	
1354232.4979999999	2014-08-26 02:40:57.173549	
1354230.9824000001	2014-08-26 02:40:58.193704	
1354230.0231999999	2014-08-26 02:40:58.830087	
1354228.4638	2014-08-26 02:40:59.850240	
1354226.1179	2014-08-26 02:41:01.352779	
1354224.4919	2014-08-26 02:41:02.372932	
1354222.8389000001	2014-08-26 02:41:03.393087	
1354221.159	2014-08-26 02:41:04.413239	
1354219.4521999999	2014-08-26 02:41:05.433393	
1354217.7185	2014-08-26 02:41:06.453547	
1354215.9579	2014-08-26 02:41:07.473701	
1354214.1703999999	2014-08-26 02:41:08.493854	
1354212.3559000001	2014-08-26 02:41:09.514009	
1354210.5146000001	2014-08-26 02:41:10.534162	
1354208.6465	2014-08-26 02:41:11.554316	
1354206.7514	2014-08-26 02:41:12.574468	
1354204.8293999999	2014-08-26 02:41:13.594624	
1354202.6562000001	2014-08-26 02:41:14.731366	
1354200.6775	2014-08-26 02:41:15.751520	
1354199.5959000001	2014-08-26 02:41:16.303374	
1354197.7326	2014-08-26 02:41:17.244830	
1354195.6878	2014-08-26 02:41:18.264984	
1354193.6161	2014-08-26 02:41:19.285138	
1354191.5175000001	2014-08-26 02:41:20.305292	
1354189.3922000001	2014-08-26 02:41:21.325446	
1354187.2401000001	2014-08-26 02:41:22.345600	
1354185.0611	2014-08-26 02:41:23.365754	
1354182.8554	2014-08-26 02:41:24.385907	
1354180.6228	2014-08-26 02:41:25.406061	
